Default Dataset,
X,Y
0.0006971273185577577,61.55913978494624
0.04705561620318098,61.55913978494624
0.08072468693633456,62.63440860215053
0.10449807260416541,62.63440860215053
0.11750698797794837,62.36559139784944
0.17306791455104775,63.172043010752674
0.2671477940330217,63.70967741935482
0.3299676301001112,63.70967741935482
0.37104514348468787,63.978494623655905
0.463705276988934,69.08602150537632
0.5401123109850874,69.08602150537632
0.6291093135103862,69.08602150537632
0.7327707965472332,69.08602150537632
0.8337178660992305,69.62365591397848
0.9375070068499803,69.89247311827955
1.0792474199588784,70.96774193548386
1.2719164925626738,72.04301075268816
1.4642158223581927,71.77419354838707
2.033668935451848,75.80645161290322
2.453629119588629,76.34408602150536
2.891655134978885,76.88172043010752
3.176221842578121,78.49462365591395
3.5716281895925324,78.49462365591395
3.923110792890034,79.56989247311827
5.322487494139806,85.21505376344085
6.199500336326087,85.21505376344085
7.221022963872411,86.55913978494623
7.479720168282681,88.44086021505375
8.61056891804672,89.24731182795698
13.606861422352363,98.65591397849461
16.416728814649918,98.38709677419354
16.610479349141034,100.26881720430106
18.032292998574864,101.07526881720429
20.277124580323758,102.1505376344086
37.32282618711243,122.04301075268816
41.47958425960482,121.77419354838709
44.504880916216976,126.07526881720429
53.69530402724655,126.34408602150536
59.67551536899282,125.80645161290322
60.379806895600446,122.84946236559139
53.06898291776705,119.35483870967742
80.0174511478642,147.31182795698925
92.11518108348062,150.80645161290323
104.80503940677112,151.61290322580643
116.47749934878934,152.1505376344086
111.13730790817712,144.6236559139785
112.44895245394665,148.65591397849462
